Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| pip requirements |          1 |         -6 |          0 |         -1 |         -7 |
| toml             |          1 |         -7 |          0 |          0 |         -7 |
| XSL              |          1 |        -40 |          0 |         -1 |        -41 |
| Makefile         |          2 |        -46 |        -13 |        -20 |        -79 |
| SQL              |          3 |       -135 |        -92 |        -36 |       -263 |
| reStructuredText |          5 |       -160 |        -31 |       -119 |       -310 |
| Batch            |          6 |       -162 |         -7 |        -23 |       -192 |
| YAML             |          4 |       -176 |          0 |        -32 |       -208 |
| Groovy           |          1 |       -464 |         -3 |        -39 |       -506 |
| Ini              |         19 |       -482 |        -64 |       -127 |       -673 |
| XML              |          4 |       -684 |       -244 |        -27 |       -955 |
| Shell Script     |         11 |       -908 |       -166 |       -160 |     -1,234 |
| JavaScript       |         10 |     -1,427 |       -115 |       -147 |     -1,689 |
| Markdown         |         33 |     -2,057 |          0 |     -1,083 |     -3,140 |
| HTML             |         47 |     -2,186 |        -97 |       -567 |     -2,850 |
| CMake            |         22 |     -2,229 |          0 |       -610 |     -2,839 |
| CSS              |          9 |     -3,897 |       -129 |       -801 |     -4,827 |
| LinkerScript     |         37 |     -4,194 |     -3,896 |     -1,175 |     -9,265 |
| JSON             |          8 |     -5,025 |          0 |         -7 |     -5,032 |
| Assembly         |         56 |     -8,529 |     -1,757 |     -2,300 |    -12,586 |
| Python           |        138 |    -18,535 |     -2,613 |     -4,653 |    -25,801 |
| C                |      1,133 |   -282,875 |   -112,930 |    -58,076 |   -453,881 |
| C++              |      1,353 |   -425,087 |   -114,542 |    -72,846 |   -612,475 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                         |      2,904 |   -759,311 |   -236,699 |   -142,850 | -1,138,860 |
| ..                                                                                                                                                                                        |      2,904 |   -759,311 |   -236,699 |   -142,850 | -1,138,860 |
| .. (Files)                                                                                                                                                                                |          4 |       -178 |         -6 |        -34 |       -218 |
| ..\.settings                                                                                                                                                                              |          1 |        -15 |          0 |          0 |        -15 |
| ..\FreeRTOS-Kernel                                                                                                                                                                        |         57 |    -24,918 |    -18,818 |     -6,254 |    -49,990 |
| ..\FreeRTOS-Kernel (Files)                                                                                                                                                                |         10 |    -10,287 |     -3,535 |     -2,627 |    -16,449 |
| ..\FreeRTOS-Kernel\examples                                                                                                                                                               |          3 |       -120 |       -341 |        -78 |       -539 |
| ..\FreeRTOS-Kernel\examples\cmake_example                                                                                                                                                 |          1 |        -37 |        -39 |        -12 |        -88 |
| ..\FreeRTOS-Kernel\examples\sample_configuration                                                                                                                                          |          2 |        -83 |       -302 |        -66 |       -451 |
| ..\FreeRTOS-Kernel\include                                                                                                                                                                |         20 |     -4,535 |    -11,363 |     -1,444 |    -17,342 |
| ..\FreeRTOS-Kernel\portable                                                                                                                                                               |         24 |     -9,976 |     -3,579 |     -2,105 |    -15,660 |
| ..\FreeRTOS-Kernel\portable\GCC                                                                                                                                                           |         14 |     -8,485 |     -2,738 |     -1,673 |    -12,896 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM0                                                                                                                                                   |          2 |       -419 |       -283 |       -113 |       -815 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM3                                                                                                                                                   |          2 |       -509 |       -388 |       -149 |     -1,046 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU                                                                                                                                               |          3 |     -3,136 |       -573 |       -531 |     -4,240 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM4F                                                                                                                                                  |          2 |       -562 |       -409 |       -161 |     -1,132 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU                                                                                                                                               |          3 |     -3,299 |       -681 |       -560 |     -4,540 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM7                                                                                                                                                   |          2 |       -560 |       -404 |       -159 |     -1,123 |
| ..\FreeRTOS-Kernel\portable\GCC\ARM_CM7\r0p1                                                                                                                                              |          2 |       -560 |       -404 |       -159 |     -1,123 |
| ..\FreeRTOS-Kernel\portable\MemMang                                                                                                                                                       |          5 |     -1,085 |       -580 |       -291 |     -1,956 |
| ..\FreeRTOS-Kernel\portable\Tasking                                                                                                                                                       |          3 |       -321 |       -230 |       -114 |       -665 |
| ..\FreeRTOS-Kernel\portable\Tasking\ARM_CM4F                                                                                                                                              |          3 |       -321 |       -230 |       -114 |       -665 |
| ..\FreeRTOS-Kernel\portable\template                                                                                                                                                      |          2 |        -85 |        -31 |        -27 |       -143 |
| ..\Tools                                                                                                                                                                                  |        100 |    -47,015 |    -31,278 |    -15,332 |    -93,625 |
| ..\Tools\ExternalLoader                                                                                                                                                                   |        100 |    -47,015 |    -31,278 |    -15,332 |    -93,625 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL                                                                                                                                      |         20 |     -9,743 |     -8,068 |     -3,718 |    -21,529 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes                                                                                                                             |         12 |     -7,501 |     -6,064 |     -3,149 |    -16,714 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files                                                                                                                 |         11 |     -7,475 |     -6,064 |     -3,145 |    -16,684 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\Loader_Files                                                                                                                |          1 |        -26 |          0 |         -4 |        -30 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Project                                                                                                                              |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Project\TrueSTUDIO                                                                                                                   |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Project\TrueSTUDIO\IS61WV51216BLL_STM3210E-EVAL                                                                                      |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources                                                                                                                              |          7 |     -2,157 |     -1,970 |       -549 |     -4,676 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\Loader_Files                                                                                                                 |          2 |       -175 |        -81 |        -40 |       -296 |
| ..\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files                                                                                                                |          5 |     -1,982 |     -1,889 |       -509 |     -4,380 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL                                                                                                                                              |         33 |    -17,739 |    -11,677 |     -5,644 |    -35,060 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes                                                                                                                                     |         22 |    -14,929 |     -8,380 |     -4,856 |    -28,165 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files                                                                                                                         |         11 |     -7,475 |     -6,064 |     -3,145 |    -16,684 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\Library_Files                                                                                                                       |         10 |     -7,428 |     -2,316 |     -1,707 |    -11,451 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\Loader_Files                                                                                                                        |          1 |        -26 |          0 |         -4 |        -30 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Project                                                                                                                                      |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Project\TrueSTUDIO                                                                                                                           |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Project\TrueSTUDIO\M25P64_STM3210E-EVAL                                                                                                      |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Sources                                                                                                                                      |         10 |     -2,725 |     -3,263 |       -768 |     -6,756 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Sources\Library_Files                                                                                                                        |          8 |     -2,587 |     -3,169 |       -743 |     -6,499 |
| ..\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Sources\Loader_Files                                                                                                                         |          2 |       -138 |        -94 |        -25 |       -257 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL                                                                                                                                           |         27 |    -16,987 |    -10,002 |     -5,326 |    -32,315 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Includes                                                                                                                                  |         19 |    -14,579 |     -7,914 |     -4,711 |    -27,204 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Includes\CMSIS_Files                                                                                                                      |         11 |     -7,475 |     -6,064 |     -3,145 |    -16,684 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Includes\Library_Files                                                                                                                    |          7 |     -7,078 |     -1,850 |     -1,562 |    -10,490 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Includes\Loader_Files                                                                                                                     |          1 |        -26 |          0 |         -4 |        -30 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Project                                                                                                                                   |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Project\TrueSTUDIO                                                                                                                        |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Project\TrueSTUDIO\M29W128GL_STM3210E-EVAL                                                                                                |          1 |        -85 |        -34 |        -20 |       -139 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Sources                                                                                                                                   |          7 |     -2,323 |     -2,054 |       -595 |     -4,972 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Sources\Library_Files                                                                                                                     |          5 |     -2,119 |     -1,957 |       -546 |     -4,622 |
| ..\Tools\ExternalLoader\M29W128GL_STM3210E-EVAL\Sources\Loader_Files                                                                                                                      |          2 |       -204 |        -97 |        -49 |       -350 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO                                                                                                                                     |         11 |     -1,125 |       -880 |       -294 |     -2,299 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO\Inc                                                                                                                                 |          4 |       -317 |       -193 |       -103 |       -613 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO\MDK-ARM                                                                                                                             |          1 |       -348 |        -57 |        -35 |       -440 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO\SW4STM32                                                                                                                            |          1 |        -89 |        -35 |        -21 |       -145 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO\SW4STM32\MX25LM51245G_STM32L4R9I-DISCO                                                                                              |          1 |        -89 |        -35 |        -21 |       -145 |
| ..\Tools\ExternalLoader\MX25LM51245G_STM32L4R9I-DISCO\Src                                                                                                                                 |          5 |       -371 |       -595 |       -135 |     -1,101 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL                                                                                                                                          |          9 |     -1,421 |       -651 |       -350 |     -2,422 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL\Inc                                                                                                                                      |          3 |       -432 |       -148 |       -149 |       -729 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL\MDK-ARM                                                                                                                                  |          1 |       -348 |        -57 |        -35 |       -440 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL\SW4STM32                                                                                                                                 |          1 |        -89 |        -35 |        -21 |       -145 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL\SW4STM32\N25Q512A_STM32F769I-EVAL                                                                                                        |          1 |        -89 |        -35 |        -21 |       -145 |
| ..\Tools\ExternalLoader\N25Q512A_STM32F769I-EVAL\Src                                                                                                                                      |          4 |       -552 |       -411 |       -145 |     -1,108 |
| ..\docs                                                                                                                                                                                   |          2 |        -20 |          0 |        -10 |        -30 |
| ..\vendor                                                                                                                                                                                 |      2,740 |   -687,165 |   -186,597 |   -121,220 |   -994,982 |
| ..\vendor (Files)                                                                                                                                                                         |          3 |       -656 |        -92 |       -161 |       -909 |
| ..\vendor\cmsis_core                                                                                                                                                                      |      2,707 |   -402,748 |   -165,360 |   -101,326 |   -669,434 |
| ..\vendor\cmsis_core (Files)                                                                                                                                                              |          3 |       -836 |         -8 |       -124 |       -968 |
| ..\vendor\cmsis_core\CMSIS                                                                                                                                                                |      2,638 |   -397,508 |   -160,783 |    -99,679 |   -657,970 |
| ..\vendor\cmsis_core\CMSIS\Core                                                                                                                                                           |         32 |    -29,904 |    -12,882 |    -11,003 |    -53,789 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation                                                                                                                                                 |         44 |     -5,381 |     -8,859 |     -2,204 |    -16,444 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Include                                                                                                                                         |          4 |       -224 |        -55 |        -51 |       -330 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Source                                                                                                                                          |         16 |     -2,327 |     -1,031 |       -719 |     -4,077 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Source (Files)                                                                                                                                  |         12 |     -2,189 |       -900 |       -692 |     -3,781 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Source\Config                                                                                                                                   |          3 |        -86 |        -72 |        -17 |       -175 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Source\ConfigA                                                                                                                                  |          1 |        -52 |        -59 |        -10 |       -121 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests                                                                                                                                           |         24 |     -2,830 |     -7,773 |     -1,434 |    -12,037 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests (Files)                                                                                                                                   |          5 |       -485 |         -9 |        -79 |       -573 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\bootloader                                                                                                                                |          7 |       -866 |     -3,564 |       -599 |     -5,029 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\bootloader (Files)                                                                                                                        |          2 |        -44 |        -35 |        -16 |        -95 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\bootloader\config                                                                                                                         |          5 |       -822 |     -3,529 |       -583 |     -4,934 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\bootloader\config\core_m                                                                                                                  |          5 |       -822 |     -3,529 |       -583 |     -4,934 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\config                                                                                                                                    |         12 |     -1,479 |     -4,200 |       -756 |     -6,435 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\config\core_a                                                                                                                             |          4 |       -357 |       -265 |        -86 |       -708 |
| ..\vendor\cmsis_core\CMSIS\CoreValidation\Tests\config\core_m                                                                                                                             |          8 |     -1,122 |     -3,935 |       -670 |     -5,727 |
| ..\vendor\cmsis_core\CMSIS\Core\Include                                                                                                                                                   |         30 |    -29,778 |    -12,806 |    -10,945 |    -53,529 |
| ..\vendor\cmsis_core\CMSIS\Core\Template                                                                                                                                                  |          2 |       -126 |        -76 |        -58 |       -260 |
| ..\vendor\cmsis_core\CMSIS\Core\Template\ARMv8-M                                                                                                                                          |          2 |       -126 |        -76 |        -58 |       -260 |
| ..\vendor\cmsis_core\CMSIS\Core_A                                                                                                                                                         |          9 |     -3,985 |     -1,728 |       -914 |     -6,627 |
| ..\vendor\cmsis_core\CMSIS\Core_A\Include                                                                                                                                                 |          8 |     -3,737 |     -1,662 |       -809 |     -6,208 |
| ..\vendor\cmsis_core\CMSIS\Core_A\Source                                                                                                                                                  |          1 |       -248 |        -66 |       -105 |       -419 |
| ..\vendor\cmsis_core\CMSIS\DAP                                                                                                                                                            |         63 |    -15,202 |    -12,545 |     -3,715 |    -31,462 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware                                                                                                                                                   |         63 |    -15,202 |    -12,545 |     -3,715 |    -31,462 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Config                                                                                                                                            |          1 |       -173 |       -295 |        -94 |       -562 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples                                                                                                                                          |         43 |    -10,513 |    -11,091 |     -2,825 |    -24,429 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2                                                                                                                                |         20 |     -7,210 |     -5,635 |     -1,416 |    -14,261 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2 (Files)                                                                                                                        |          9 |       -828 |       -672 |       -258 |     -1,758 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE                                                                                                                            |         11 |     -6,382 |     -4,963 |     -1,158 |    -12,503 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE\CMSIS                                                                                                                      |          2 |       -217 |       -325 |       -103 |       -645 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE\Device                                                                                                                     |          6 |     -5,648 |     -1,408 |       -458 |     -7,514 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE\Device\LPC4322_Cortex-M4                                                                                                   |          3 |     -2,824 |       -704 |       -229 |     -3,757 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE\Device\LPC4370_Cortex-M4                                                                                                   |          3 |     -2,824 |       -704 |       -229 |     -3,757 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\LPC-Link2\RTE\USB                                                                                                                        |          3 |       -517 |     -3,230 |       -597 |     -4,344 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK                                                                                                                                 |         23 |     -3,303 |     -5,456 |     -1,409 |    -10,168 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK (Files)                                                                                                                         |         11 |     -2,121 |     -1,356 |       -544 |     -4,021 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\RTE                                                                                                                             |          6 |       -899 |     -3,575 |       -732 |     -5,206 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\RTE\CMSIS                                                                                                                       |          2 |       -217 |       -326 |       -103 |       -646 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\RTE\Device                                                                                                                      |          1 |       -165 |        -19 |        -32 |       -216 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\RTE\Device\LPC55S69JBD64_cm33_core0                                                                                             |          1 |       -165 |        -19 |        -32 |       -216 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\RTE\USB                                                                                                                         |          3 |       -517 |     -3,230 |       -597 |     -4,344 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Examples\MCU-LINK\board                                                                                                                           |          6 |       -283 |       -525 |       -133 |       -941 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Include                                                                                                                                           |          1 |       -272 |        -50 |        -46 |       -368 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Source                                                                                                                                            |          6 |     -2,954 |       -592 |       -478 |     -4,024 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Template                                                                                                                                          |          5 |       -634 |       -334 |       -147 |     -1,115 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Template\MDK5                                                                                                                                     |          5 |       -634 |       -334 |       -147 |     -1,115 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation                                                                                                                                        |          7 |       -656 |       -183 |       -125 |       -964 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5                                                                                                                                   |          7 |       -656 |       -183 |       -125 |       -964 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5 (Files)                                                                                                                           |          4 |       -450 |        -97 |        -63 |       -610 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5\RTE                                                                                                                               |          3 |       -206 |        -86 |        -62 |       -354 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5\RTE\Device                                                                                                                        |          2 |       -202 |        -76 |        -54 |       -332 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5\RTE\Device\ARMCM3                                                                                                                 |          2 |       -202 |        -76 |        -54 |       -332 |
| ..\vendor\cmsis_core\CMSIS\DAP\Firmware\Validation\MDK5\RTE\_CMSIS_DAP                                                                                                                    |          1 |         -4 |        -10 |         -8 |        -22 |
| ..\vendor\cmsis_core\CMSIS\DSP                                                                                                                                                            |      1,561 |   -280,508 |    -86,771 |    -66,284 |   -433,563 |
| ..\vendor\cmsis_core\CMSIS\DSP (Files)                                                                                                                                                    |         15 |     -1,784 |        -38 |       -577 |     -2,399 |
| ..\vendor\cmsis_core\CMSIS\DSP\ComputeLibrary                                                                                                                                             |          3 |       -238 |       -178 |        -75 |       -491 |
| ..\vendor\cmsis_core\CMSIS\DSP\ComputeLibrary (Files)                                                                                                                                     |          1 |        -11 |          0 |         -9 |        -20 |
| ..\vendor\cmsis_core\CMSIS\DSP\ComputeLibrary\Include                                                                                                                                     |          1 |       -201 |       -153 |        -61 |       -415 |
| ..\vendor\cmsis_core\CMSIS\DSP\ComputeLibrary\Source                                                                                                                                      |          1 |        -26 |        -25 |         -5 |        -56 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples                                                                                                                                                   |         45 |     -3,434 |     -3,101 |     -1,176 |     -7,711 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM                                                                                                                                               |         45 |     -3,434 |     -3,101 |     -1,176 |     -7,711 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_bayes_example                                                                                                                             |          3 |       -109 |        -71 |        -56 |       -236 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_class_marks_example                                                                                                                       |          2 |        -75 |       -120 |        -43 |       -238 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_convolution_example                                                                                                                       |          4 |       -342 |       -343 |       -133 |       -818 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_dotproduct_example                                                                                                                        |          2 |        -75 |       -103 |        -26 |       -204 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_fft_bin_example                                                                                                                           |          3 |       -308 |       -147 |        -36 |       -491 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_fir_example                                                                                                                               |          5 |       -395 |       -416 |       -139 |       -950 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_graphic_equalizer_example                                                                                                                 |          5 |       -499 |       -436 |       -168 |     -1,103 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_linear_interp_example                                                                                                                     |          5 |       -536 |       -383 |       -131 |     -1,050 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_matrix_example                                                                                                                            |          4 |       -311 |       -339 |       -139 |       -789 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_signal_converge_example                                                                                                                   |          5 |       -527 |       -411 |       -156 |     -1,094 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_sin_cos_example                                                                                                                           |          2 |        -65 |        -94 |        -35 |       -194 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_svm_example                                                                                                                               |          3 |       -122 |       -116 |        -65 |       -303 |
| ..\vendor\cmsis_core\CMSIS\DSP\Examples\ARM\arm_variance_example                                                                                                                          |          2 |        -70 |       -122 |        -49 |       -241 |
| ..\vendor\cmsis_core\CMSIS\DSP\Include                                                                                                                                                    |         44 |     -6,658 |     -6,964 |     -2,463 |    -16,085 |
| ..\vendor\cmsis_core\CMSIS\DSP\Include (Files)                                                                                                                                            |         14 |     -2,078 |     -1,072 |       -756 |     -3,906 |
| ..\vendor\cmsis_core\CMSIS\DSP\Include\dsp                                                                                                                                                |         30 |     -4,580 |     -5,892 |     -1,707 |    -12,179 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms                                                                                                                                                  |        233 |    -18,919 |    -12,488 |     -5,777 |    -37,184 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP                                                                                                                                              |        100 |     -7,466 |     -5,511 |     -2,352 |    -15,329 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP (Files)                                                                                                                                      |          1 |         -2 |          0 |          0 |         -2 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32                                                                                                                                      |         15 |     -1,137 |       -914 |       -388 |     -2,439 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32 (Files)                                                                                                                              |          3 |       -612 |       -346 |       -202 |     -1,160 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\Include                                                                                                                              |          1 |        -61 |        -42 |        -16 |       -119 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\LinkScripts                                                                                                                          |          7 |       -241 |       -345 |       -104 |       -690 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\LinkScripts\AC5                                                                                                                      |          2 |        -33 |       -113 |        -22 |       -168 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\LinkScripts\AC6                                                                                                                      |          2 |        -33 |       -113 |        -23 |       -169 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\LinkScripts\GCC                                                                                                                      |          3 |       -175 |       -119 |        -59 |       -353 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\Startup                                                                                                                              |          4 |       -223 |       -181 |        -66 |       -470 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\Startup\AC5                                                                                                                          |          1 |        -74 |        -53 |        -17 |       -144 |
| ..\vendor\cmsis_core\CMSIS\DSP\Platforms\FVP\ARMCA32\Startup\AC6                                                                                                                          |          1 |        -67 |        -55 |        -20 |       -142 |
